login,link,followers,following,follow_ratio,public_repos,contributions,stars,total_size,user_feedback
unklegeorge,https://github.com/unklegeorge,4.0,1.0,4.0,3.0,0.0,8.0,621.0,0
sanjayuttam,https://github.com/sanjayuttam,6.0,1.0,6.0,8.0,0.0,4.0,52387.0,0
qzhuyan,https://github.com/qzhuyan,31.0,6.0,5.166666666666667,68.0,1198.0,6.0,345313.0,0
catchthecows,https://github.com/catchthecows,14.0,0.0,0.0,8.0,0.0,229.0,92453.0,0
rohitjenveja,https://github.com/rohitjenveja,2.0,0.0,0.0,7.0,0.0,0.0,59660.0,0
zhangkf,https://github.com/zhangkf,33.0,46.0,0.717391304347826,40.0,2.0,10.0,19044.0,0
gilsantana,https://github.com/gilsantana,4.0,0.0,0.0,1.0,0.0,2.0,2280.0,0
jzplusplus,https://github.com/jzplusplus,24.0,6.0,4.0,31.0,208.0,94.0,178569.0,0
Soaa-,https://github.com/Soaa-,8.0,1.0,8.0,12.0,0.0,95.0,282286.0,0
nevin,https://github.com/nevin,2.0,2.0,1.0,23.0,0.0,1.0,462644.0,0
twadzinski,https://github.com/twadzinski,2.0,0.0,0.0,3.0,0.0,0.0,12506.0,0
garrettwinder,https://github.com/garrettwinder,23.0,10.0,2.3,0.0,0.0,0.0,0.0,0
adamwride,https://github.com/adamwride,3.0,2.0,1.5,6.0,0.0,0.0,13340.0,0
tiggit,https://github.com/tiggit,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
arezaei,https://github.com/arezaei,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mosenduyu,https://github.com/mosenduyu,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sjarvela,https://github.com/sjarvela,12.0,0.0,0.0,3.0,0.0,120.0,32544.0,0
howitabout,https://github.com/howitabout,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hiroyam,https://github.com/hiroyam,8.0,1.0,8.0,19.0,1.0,29.0,21803.0,0
hardikpatelit,https://github.com/hardikpatelit,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
themuniz,https://github.com/themuniz,5.0,1.0,5.0,9.0,136.0,0.0,3495.0,0
Wolfreeze,https://github.com/Wolfreeze,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0
tramamte,https://github.com/tramamte,3.0,0.0,0.0,5.0,21.0,2.0,43218.0,0
minenotewebstaff,https://github.com/minenotewebstaff,3.0,0.0,0.0,2.0,0.0,2.0,137.0,0
criminy,https://github.com/criminy,5.0,2.0,2.5,13.0,0.0,29.0,10273.0,0
klivin,https://github.com/klivin,24.0,34.0,0.7058823529411765,20.0,147.0,1.0,272385.0,0
bablamoosh,https://github.com/bablamoosh,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LiteralDean,https://github.com/LiteralDean,3.0,1.0,3.0,4.0,0.0,3.0,7150.0,0
nishanthkrishna,https://github.com/nishanthkrishna,3.0,0.0,0.0,4.0,0.0,1.0,744.0,0
ekuku,https://github.com/ekuku,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
multimixer,https://github.com/multimixer,3.0,0.0,0.0,3.0,0.0,1.0,21826.0,0
abelnation,https://github.com/abelnation,29.0,2.0,14.5,95.0,5.0,24.0,31141.0,0
jarednipper,https://github.com/jarednipper,9.0,0.0,0.0,2.0,3.0,0.0,35428.0,0
tim0-college,https://github.com/tim0-college,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
heretic-zz,https://github.com/heretic-zz,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
asimiqbal,https://github.com/asimiqbal,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
donatello,https://github.com/donatello,65.0,34.0,1.911764705882353,99.0,754.0,15.0,1036353.0,0
gnijgnaw,https://github.com/gnijgnaw,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
duketxl,https://github.com/duketxl,3.0,2.0,1.5,1.0,4.0,0.0,6889.0,0
mugssy,https://github.com/mugssy,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
verbalcalculus,https://github.com/verbalcalculus,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MikeWalsh,https://github.com/MikeWalsh,3.0,1.0,3.0,7.0,1362.0,0.0,7709.0,0
ndhoward,https://github.com/ndhoward,3.0,0.0,0.0,1.0,0.0,6.0,7604.0,0
bentz,https://github.com/bentz,4.0,0.0,0.0,6.0,0.0,4.0,998727.0,0
robertluo,https://github.com/robertluo,34.0,35.0,0.9714285714285714,42.0,29.0,107.0,61244.0,0
ralpho,https://github.com/ralpho,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
zeesuresh,https://github.com/zeesuresh,3.0,0.0,0.0,1.0,0.0,0.0,20.0,0
zfghclient,https://github.com/zfghclient,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
geeman7444,https://github.com/geeman7444,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BuFu,https://github.com/BuFu,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
nrazmehr,https://github.com/nrazmehr,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
giani09,https://github.com/giani09,4.0,5.0,0.8,3.0,0.0,1.0,4788.0,0
mujtar01,https://github.com/mujtar01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
csakshaug,https://github.com/csakshaug,28.0,118.0,0.2372881355932203,0.0,2072.0,0.0,0.0,0
TkmdjVo,https://github.com/TkmdjVo,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
urashid,https://github.com/urashid,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
mrhezqhe,https://github.com/mrhezqhe,3.0,0.0,0.0,10.0,9.0,0.0,20447.0,0
zhuangxm,https://github.com/zhuangxm,19.0,15.0,1.2666666666666666,35.0,19.0,29.0,61833.0,0
v1ct0r,https://github.com/v1ct0r,5.0,1.0,5.0,15.0,0.0,0.0,168146.0,0
hide5stm,https://github.com/hide5stm,21.0,36.0,0.5833333333333334,179.0,299.0,1.0,443500.0,0
ccloveaa,https://github.com/ccloveaa,4.0,5.0,0.8,37.0,0.0,8.0,654131.0,0
trevorknowlt,https://github.com/trevorknowlt,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anders-bogild,https://github.com/anders-bogild,3.0,0.0,0.0,2.0,0.0,0.0,1521.0,0
simonowen,https://github.com/simonowen,54.0,0.0,0.0,39.0,26.0,411.0,24770.0,0
bnaruto21,https://github.com/bnaruto21,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ayee99,https://github.com/ayee99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
hugosantosred,https://github.com/hugosantosred,34.0,15.0,2.2666666666666666,32.0,13.0,17.0,2578403.0,0
